case_id,gold_label,predicted_label,correct,joint_success,retrieval_contains_gold,source_valid_evidence,gold_evidence_overlap,bm25_top20_rank,post_rerank_rank_of_20,would_top10_include,score_margin,failure_primary,failure_secondary,quantification_bucket,runtime_observable_signal,oracle_action_needed,oracle_action_target,static_fix_possible,dynamic_action_required,recoverable_in_principle,in_e05_gain_sample,in_e05_regress_sample,manually_reviewed
train::146::nda-17,Entailment,NotMentioned,False,False,True,True,False,,,,9.207878351211548,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::159::nda-1,NotMentioned,NotMentioned,True,True,,True,,,,,1.4262170791625977,n/a (correct),,n/a (correct),exception_carveout_cue,none_identified,,False,False,False,True,False,True
train::160::nda-10,Entailment,NotMentioned,False,False,False,True,False,2,11,False,3.0732967853546143,STATIC_PIPELINE_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,static_pipeline_fixable,"exception_carveout_cue,defined_term_missing_cue",expand_candidate_window,increase final top-k to >= 11,True,False,True,False,False,True
train::161::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,3.4802355766296387,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::168::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,10.580359935760498,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",retrieve_definition,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::187::nda-10,NotMentioned,Contradiction,False,False,,False,,,,,3.8031232357025146,MODEL_REASONING_LIMITED,,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,True,True
train::220::nda-12,Entailment,Entailment,True,True,True,True,True,,,,2.3184919357299805,n/a (correct),,n/a (correct),"cross_reference_cue,exception_carveout_cue,defined_term_missing_cue",none_identified,,False,False,False,True,False,True
train::220::nda-13,Entailment,Contradiction,False,False,True,True,False,,,,3.8146536350250244,AGENTICALLY_FIXABLE,,agentically_fixable,"cross_reference_cue,exception_carveout_cue,defined_term_missing_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::222::nda-18,NotMentioned,Entailment,False,False,,True,,,,,1.0416817665100098,MODEL_REASONING_LIMITED,,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,True,True
train::226::nda-1,Entailment,NotMentioned,False,False,True,True,False,,,,12.224706649780273,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",retrieve_definition,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::226::nda-12,Entailment,Contradiction,False,False,True,True,False,,,,14.427687644958496,AGENTICALLY_FIXABLE,,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::247::nda-10,Entailment,NotMentioned,False,False,False,True,False,6,9,True,2.161150574684143,STATIC_PIPELINE_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,static_pipeline_fixable,"cross_reference_cue,exception_carveout_cue",expand_candidate_window,increase final top-k to >= 9,True,False,True,False,False,True
train::247::nda-12,Entailment,NotMentioned,False,False,True,True,False,,,,6.279462575912476,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::248::nda-10,Entailment,Contradiction,False,False,True,True,True,,,,5.132245421409607,AGENTICALLY_FIXABLE,,agentically_fixable,"cross_reference_cue,exception_carveout_cue,defined_term_missing_cue",follow_cross_reference,the gold-relevant chunk itself references another section/definition not in the retrieved context,False,True,True,False,False,True
train::264::nda-12,NotMentioned,Contradiction,False,False,,True,,,,,12.04004168510437,MODEL_REASONING_LIMITED,,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,True,True
train::265::nda-13,Entailment,Contradiction,False,False,True,True,False,,,,10.061022758483887,MODEL_REASONING_LIMITED,,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::271::nda-13,Entailment,Contradiction,False,False,True,True,False,,,,13.559751272201538,MODEL_REASONING_LIMITED,,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::271::nda-15,Entailment,Contradiction,False,False,True,True,False,,,,8.082374095916748,MODEL_REASONING_LIMITED,,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::273::nda-1,Entailment,NotMentioned,False,False,True,True,False,,,,3.8763954639434814,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::273::nda-10,Entailment,Contradiction,False,False,True,True,False,,,,3.6647682785987854,AGENTICALLY_FIXABLE,,agentically_fixable,"cross_reference_cue,exception_carveout_cue",follow_cross_reference,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::283::nda-1,Contradiction,NotMentioned,False,False,True,True,False,,,,3.195957273244858,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::283::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,5.834768176078796,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::300::nda-20,Contradiction,NotMentioned,False,False,True,True,False,,,,8.506063222885132,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue,defined_term_missing_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::317::nda-12,Entailment,Entailment,True,False,True,False,False,,,,1.6851820945739746,n/a (correct),,n/a (correct),"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,True,False,True
train::318::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,4.253142595291138,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::320::nda-12,NotMentioned,NotMentioned,True,True,,True,,,,,8.562348149716854,n/a (correct),,n/a (correct),"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,True,False,True
train::338::nda-17,Contradiction,Contradiction,True,False,True,False,False,,,,4.580159068107605,n/a (correct),,n/a (correct),"exception_carveout_cue,defined_term_missing_cue",none_identified,,False,False,False,True,False,True
train::338::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,12.00318193435669,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue,defined_term_missing_cue",none_identified,,False,False,False,False,False,True
train::341::nda-11,NotMentioned,NotMentioned,True,True,,True,,,,,2.109034299850464,n/a (correct),,n/a (correct),"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,True,False,True
train::341::nda-12,NotMentioned,Contradiction,False,False,,True,,,,,1.4760618209838867,MODEL_REASONING_LIMITED,,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,True,True
train::352::nda-13,Entailment,Contradiction,False,False,True,True,True,,,,3.1426968574523926,MODEL_REASONING_LIMITED,,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::353::nda-10,Entailment,NotMentioned,False,False,False,True,False,9,9,True,3.1564507484436035,STATIC_PIPELINE_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,static_pipeline_fixable,exception_carveout_cue,expand_candidate_window,increase final top-k to >= 9,True,False,True,False,False,True
train::353::nda-19,Entailment,NotMentioned,False,False,True,True,False,,,,3.8152685165405273,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::366::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,2.2760239839553833,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",retrieve_definition,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::373::nda-11,Contradiction,Entailment,False,False,True,True,True,,,,4.203831911087036,MODEL_REASONING_LIMITED,,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::373::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,3.1259119510650635,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::375::nda-15,Entailment,Contradiction,False,False,True,False,False,,,,11.475356101989746,AGENTICALLY_FIXABLE,,agentically_fixable,exception_carveout_cue,search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,True,True
train::379::nda-10,Entailment,NotMentioned,False,False,False,True,False,3,8,True,0.944432258605957,STATIC_PIPELINE_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,static_pipeline_fixable,"cross_reference_cue,exception_carveout_cue,low_score_margin",expand_candidate_window,increase final top-k to >= 8,True,False,True,False,False,True
train::379::nda-11,NotMentioned,Contradiction,False,False,,False,,,,,0.8902270793914795,MODEL_REASONING_LIMITED,,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue,low_score_margin",none_identified,,False,False,False,False,True,True
train::438::nda-2,Contradiction,NotMentioned,False,False,False,True,False,6,8,True,5.219107210636139,STATIC_PIPELINE_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,static_pipeline_fixable,"exception_carveout_cue,defined_term_missing_cue",expand_candidate_window,increase final top-k to >= 8,True,False,True,False,False,True
train::438::nda-20,Contradiction,NotMentioned,False,False,True,True,False,,,,2.1570457816123962,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::449::nda-18,Entailment,NotMentioned,False,False,True,True,False,,,,0.03150177001953125,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"low_score_margin,low_score_margin",none_identified,,False,False,False,False,False,True
train::484::nda-8,Entailment,NotMentioned,False,False,True,True,False,,,,9.212868928909302,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::487::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,4.7709832191467285,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"exception_carveout_cue,defined_term_missing_cue",none_identified,,False,False,False,False,False,True
train::501::nda-1,Contradiction,Contradiction,True,True,True,True,True,,,,5.9463381469249725,n/a (correct),,n/a (correct),"exception_carveout_cue,defined_term_missing_cue",none_identified,,False,False,False,True,False,True
train::501::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,17.526277542114258,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"exception_carveout_cue,defined_term_missing_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::505::nda-3,Entailment,NotMentioned,False,False,True,True,False,,,,14.730428695678711,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::505::nda-4,Entailment,Contradiction,False,False,True,False,False,,,,8.32798147201538,AGENTICALLY_FIXABLE,,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,True,True
train::515::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,5.621089696884155,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::518::nda-10,Entailment,Contradiction,False,False,False,False,False,1,9,True,0.8630809783935547,STATIC_PIPELINE_FIXABLE,,static_pipeline_fixable,"cross_reference_cue,exception_carveout_cue,low_score_margin",expand_candidate_window,increase final top-k to >= 9,True,False,True,False,False,True
train::538::nda-13,Entailment,NotMentioned,False,False,True,True,False,,,,1.964399814605713,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::551::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,4.634757995605469,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::551::nda-20,Contradiction,Entailment,False,False,True,True,False,,,,5.117474555969238,AGENTICALLY_FIXABLE,,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::553::nda-20,Contradiction,Contradiction,True,False,True,False,False,,,,8.537627935409546,n/a (correct),,n/a (correct),"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,True,False,True
train::560::nda-1,Contradiction,NotMentioned,False,False,True,True,False,,,,3.823873996734619,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::560::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,9.754426956176758,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::603::nda-15,Entailment,NotMentioned,False,False,True,True,False,,,,1.8101415634155273,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::618::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,2.567784547805786,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::619::nda-10,Entailment,Contradiction,False,False,True,False,False,,,,1.5024290084838867,AGENTICALLY_FIXABLE,,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,True,True
train::88::nda-1,Contradiction,NotMentioned,False,False,True,True,False,,,,4.042165994644165,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::88::nda-2,Contradiction,Contradiction,True,True,True,True,True,,,,7.194092512130737,n/a (correct),,n/a (correct),exception_carveout_cue,none_identified,,False,False,False,True,False,True
train::92::nda-17,Contradiction,NotMentioned,False,False,True,True,False,,,,2.5514159202575684,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::92::nda-20,Contradiction,NotMentioned,False,False,True,True,False,,,,2.4254348278045654,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
