case_id,document_id,hypothesis_id,gold_label,predicted_label,correct,rule_fired,rule_polarity,matched_phrase,matched_span_start,matched_span_end,evidence_hit,joint_success,failure_family,notes
train::34::nda-13,34,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-5,34,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-4,34,nda-4,Entailment,Entailment,True,True,positive_fired,solely for the purpose,2178,2200,True,True,n/a (fully correct),
train::86::nda-11,86,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::86::nda-16,86,nda-16,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::86::nda-15,86,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::86::nda-10,86,nda-10,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::86::nda-2,86,nda-2,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::86::nda-1,86,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::86::nda-19,86,nda-19,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::86::nda-12,86,nda-12,NotMentioned,Entailment,False,True,positive_fired,independently develop,8090,8111,,False,"rule fired on distractor/false-positive text (NotMentioned->Entailment, matched phrase 'independently develop')",
train::86::nda-20,86,nda-20,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::86::nda-3,86,nda-3,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::86::nda-18,86,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::86::nda-7,86,nda-7,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::86::nda-17,86,nda-17,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::86::nda-8,86,nda-8,Entailment,Entailment,True,True,positive_fired,shall notify,9673,9685,False,False,"correct label, misaligned/wrong evidence span",
train::86::nda-13,86,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::86::nda-5,86,nda-5,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::86::nda-4,86,nda-4,Entailment,Contradiction,False,True,negative_fired,for any purpose,8584,8599,True,False,positive case matched a negative phrase (or vice versa) -- possible conflicting/ambiguous phrasing,
train::87::nda-11,87,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::87::nda-16,87,nda-16,Entailment,Entailment,True,True,positive_fired,return or destroy,11037,11054,False,False,"correct label, misaligned/wrong evidence span",
train::87::nda-15,87,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::87::nda-10,87,nda-10,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::87::nda-2,87,nda-2,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::87::nda-1,87,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::87::nda-19,87,nda-19,Entailment,Entailment,True,True,positive_fired,survive the termination,9624,9647,True,True,n/a (fully correct),
train::87::nda-12,87,nda-12,NotMentioned,Entailment,False,True,positive_fired,independently develop,5089,5110,,False,"rule fired on distractor/false-positive text (NotMentioned->Entailment, matched phrase 'independently develop')",
train::87::nda-20,87,nda-20,Entailment,Entailment,True,True,positive_fired,backup,10260,10266,False,False,"correct label, misaligned/wrong evidence span",
train::87::nda-3,87,nda-3,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::87::nda-18,87,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::87::nda-7,87,nda-7,Contradiction,Entailment,False,True,positive_fired,representatives,1991,2006,False,False,negative case matched a positive phrase -- possible conflicting/ambiguous phrasing,
train::87::nda-17,87,nda-17,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::87::nda-8,87,nda-8,Entailment,Entailment,True,True,positive_fired,required by law,7171,7186,False,False,"correct label, misaligned/wrong evidence span",
train::87::nda-13,87,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::87::nda-5,87,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::87::nda-4,87,nda-4,Entailment,Contradiction,False,True,negative_fired,without restriction on use,5361,5387,False,False,positive case matched a negative phrase (or vice versa) -- possible conflicting/ambiguous phrasing,
train::88::nda-11,88,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::88::nda-16,88,nda-16,NotMentioned,Entailment,False,True,positive_fired,shall return,4686,4698,,False,"rule fired on distractor/false-positive text (NotMentioned->Entailment, matched phrase 'shall return')",
train::88::nda-15,88,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::88::nda-10,88,nda-10,Entailment,Entailment,True,True,positive_fired,negotiat,367,375,False,False,"correct label, misaligned/wrong evidence span",
train::88::nda-2,88,nda-2,Contradiction,Contradiction,True,True,negative_fired,financial information,1519,1540,True,True,n/a (fully correct),
train::88::nda-1,88,nda-1,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::88::nda-19,88,nda-19,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::88::nda-12,88,nda-12,Entailment,Entailment,True,True,positive_fired,independently develop,2393,2414,True,True,n/a (fully correct),
train::88::nda-20,88,nda-20,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::88::nda-3,88,nda-3,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::88::nda-18,88,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::88::nda-7,88,nda-7,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::88::nda-17,88,nda-17,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::88::nda-8,88,nda-8,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::88::nda-13,88,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::88::nda-5,88,nda-5,Entailment,Entailment,True,True,positive_fired,employees who need to know,3979,4005,True,True,n/a (fully correct),
train::88::nda-4,88,nda-4,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::89::nda-11,89,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-16,89,nda-16,Entailment,Entailment,True,True,positive_fired,return or destroy,2882,2899,True,False,n/a (fully correct),
train::89::nda-15,89,nda-15,Entailment,Entailment,True,True,positive_fired,no license,5347,5357,True,True,n/a (fully correct),
train::89::nda-10,89,nda-10,NotMentioned,Entailment,False,True,positive_fired,negotiat,5079,5087,,False,"rule fired on distractor/false-positive text (NotMentioned->Entailment, matched phrase 'negotiat')",
train::89::nda-2,89,nda-2,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-1,89,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-19,89,nda-19,Entailment,Entailment,True,True,positive_fired,shall survive,13429,13442,True,False,n/a (fully correct),
train::89::nda-12,89,nda-12,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-20,89,nda-20,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::89::nda-3,89,nda-3,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-18,89,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-7,89,nda-7,Entailment,Entailment,True,True,positive_fired,consultants,7031,7042,True,True,n/a (fully correct),
train::89::nda-17,89,nda-17,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::89::nda-8,89,nda-8,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-13,89,nda-13,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::89::nda-5,89,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::89::nda-4,89,nda-4,Entailment,Contradiction,False,True,negative_fired,for any purpose,5489,5504,False,False,positive case matched a negative phrase (or vice versa) -- possible conflicting/ambiguous phrasing,
train::91::nda-11,91,nda-11,Entailment,Entailment,True,True,positive_fired,reverse engineer,7041,7057,True,True,n/a (fully correct),
train::91::nda-16,91,nda-16,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::91::nda-15,91,nda-15,Entailment,Entailment,True,True,positive_fired,no license,9446,9456,False,False,"correct label, misaligned/wrong evidence span",
train::91::nda-10,91,nda-10,NotMentioned,Entailment,False,True,positive_fired,negotiat,886,894,,False,"rule fired on distractor/false-positive text (NotMentioned->Entailment, matched phrase 'negotiat')",
train::91::nda-2,91,nda-2,Contradiction,Contradiction,True,True,negative_fired,financial information,2255,2276,True,False,n/a (fully correct),
train::91::nda-1,91,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::91::nda-19,91,nda-19,Entailment,Entailment,True,True,positive_fired,survive the termination,6012,6035,True,True,n/a (fully correct),
train::91::nda-12,91,nda-12,Entailment,Entailment,True,True,positive_fired,independently develop,3382,3403,True,True,n/a (fully correct),
train::91::nda-20,91,nda-20,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::91::nda-3,91,nda-3,Entailment,Contradiction,False,True,negative_fired,must be in writing,12152,12170,False,False,positive case matched a negative phrase (or vice versa) -- possible conflicting/ambiguous phrasing,
train::91::nda-18,91,nda-18,Entailment,Entailment,True,True,positive_fired,non-solicitation,8027,8043,True,True,n/a (fully correct),
train::91::nda-7,91,nda-7,NotMentioned,Entailment,False,True,positive_fired,representatives,1018,1033,,False,"rule fired on distractor/false-positive text (NotMentioned->Entailment, matched phrase 'representatives')",
train::91::nda-17,91,nda-17,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::91::nda-8,91,nda-8,Entailment,Entailment,True,True,positive_fired,compelled to disclose,6823,6844,False,False,"correct label, misaligned/wrong evidence span",
train::91::nda-13,91,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::91::nda-5,91,nda-5,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::91::nda-4,91,nda-4,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::92::nda-11,92,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::92::nda-16,92,nda-16,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::92::nda-15,92,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::92::nda-10,92,nda-10,Entailment,Entailment,True,True,positive_fired,existence of this agreement,6985,7012,True,True,n/a (fully correct),
train::92::nda-2,92,nda-2,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::92::nda-1,92,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::92::nda-19,92,nda-19,Entailment,Entailment,True,True,positive_fired,survive the termination,5800,5823,True,True,n/a (fully correct),
train::92::nda-12,92,nda-12,Entailment,Entailment,True,True,positive_fired,independently develop,4676,4697,True,True,n/a (fully correct),
train::92::nda-20,92,nda-20,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::92::nda-3,92,nda-3,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::92::nda-18,92,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::92::nda-7,92,nda-7,Entailment,Entailment,True,True,positive_fired,consultants,2757,2768,True,False,n/a (fully correct),
train::92::nda-17,92,nda-17,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::92::nda-8,92,nda-8,Entailment,Entailment,True,True,positive_fired,required by law,2922,2937,True,True,n/a (fully correct),
train::92::nda-13,92,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::92::nda-5,92,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::92::nda-4,92,nda-4,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::93::nda-11,93,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-16,93,nda-16,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::93::nda-15,93,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::93::nda-10,93,nda-10,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-2,93,nda-2,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::93::nda-1,93,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-19,93,nda-19,Entailment,Entailment,True,True,positive_fired,shall survive,2583,2596,True,True,n/a (fully correct),
train::93::nda-12,93,nda-12,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::93::nda-20,93,nda-20,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-3,93,nda-3,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-18,93,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-7,93,nda-7,Contradiction,Entailment,False,True,positive_fired,representatives,3247,3262,False,False,negative case matched a positive phrase -- possible conflicting/ambiguous phrasing,
train::93::nda-17,93,nda-17,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-8,93,nda-8,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::93::nda-13,93,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::93::nda-5,93,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::93::nda-4,93,nda-4,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::94::nda-11,94,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::94::nda-16,94,nda-16,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::94::nda-15,94,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::94::nda-10,94,nda-10,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::94::nda-2,94,nda-2,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::94::nda-1,94,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::94::nda-19,94,nda-19,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::94::nda-12,94,nda-12,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::94::nda-20,94,nda-20,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::94::nda-3,94,nda-3,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::94::nda-18,94,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::94::nda-7,94,nda-7,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::94::nda-17,94,nda-17,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::94::nda-8,94,nda-8,Entailment,Entailment,True,True,positive_fired,required by law,3590,3605,True,True,n/a (fully correct),
train::94::nda-13,94,nda-13,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::94::nda-5,94,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::94::nda-4,94,nda-4,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-11,95,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::95::nda-16,95,nda-16,NotMentioned,Entailment,False,True,positive_fired,shall destroy,9483,9496,,False,"rule fired on distractor/false-positive text (NotMentioned->Entailment, matched phrase 'shall destroy')",
train::95::nda-15,95,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-10,95,nda-10,Entailment,Entailment,True,True,positive_fired,existence of this agreement,3902,3929,True,True,n/a (fully correct),
train::95::nda-2,95,nda-2,Contradiction,Contradiction,True,True,negative_fired,financial information,2691,2712,True,False,n/a (fully correct),
train::95::nda-1,95,nda-1,Contradiction,Entailment,False,True,positive_fired,designated as confidential,3377,3403,True,False,negative case matched a positive phrase -- possible conflicting/ambiguous phrasing,
train::95::nda-19,95,nda-19,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-12,95,nda-12,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-20,95,nda-20,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::95::nda-3,95,nda-3,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-18,95,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::95::nda-7,95,nda-7,Entailment,Entailment,True,True,positive_fired,representatives,4988,5003,True,True,n/a (fully correct),
train::95::nda-17,95,nda-17,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::95::nda-8,95,nda-8,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-13,95,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-5,95,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::95::nda-4,95,nda-4,Entailment,Contradiction,False,True,negative_fired,for any purpose,6213,6228,True,False,positive case matched a negative phrase (or vice versa) -- possible conflicting/ambiguous phrasing,
train::96::nda-11,96,nda-11,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::96::nda-16,96,nda-16,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-15,96,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::96::nda-10,96,nda-10,Entailment,Entailment,True,True,positive_fired,negotiat,3313,3321,False,False,"correct label, misaligned/wrong evidence span",
train::96::nda-2,96,nda-2,Contradiction,Contradiction,True,True,negative_fired,financial information,2060,2081,True,True,n/a (fully correct),
train::96::nda-1,96,nda-1,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::96::nda-19,96,nda-19,Entailment,Entailment,True,True,positive_fired,shall survive,5551,5564,True,True,n/a (fully correct),
train::96::nda-12,96,nda-12,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-20,96,nda-20,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-3,96,nda-3,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-18,96,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-7,96,nda-7,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::96::nda-17,96,nda-17,Contradiction,Contradiction,True,True,negative_fired,shall not copy,4678,4692,True,True,n/a (fully correct),
train::96::nda-8,96,nda-8,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-13,96,nda-13,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-5,96,nda-5,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::96::nda-4,96,nda-4,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::98::nda-11,98,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::98::nda-16,98,nda-16,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::98::nda-15,98,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::98::nda-10,98,nda-10,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::98::nda-2,98,nda-2,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::98::nda-1,98,nda-1,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::98::nda-19,98,nda-19,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::98::nda-12,98,nda-12,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::98::nda-20,98,nda-20,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::98::nda-3,98,nda-3,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::98::nda-18,98,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::98::nda-7,98,nda-7,Contradiction,Entailment,False,True,positive_fired,representatives,2381,2396,True,False,negative case matched a positive phrase -- possible conflicting/ambiguous phrasing,
train::98::nda-17,98,nda-17,Contradiction,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Contradiction->NotMentioned, no phrase matched)",
train::98::nda-8,98,nda-8,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::98::nda-13,98,nda-13,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::98::nda-5,98,nda-5,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
