case_id,document_id,hypothesis_id,gold_label,predicted_label,parse_status,source_valid_evidence,gold_evidence_overlap,retrieval_contains_gold,joint_success,retrieval_aware_family,input_tokens,output_tokens,generation_latency_ms,cost_usd,notes
train::146::nda-17,146,nda-17,Entailment,Entailment,strict,True,True,True,True,n/a (correct),979,1287,14625.7279580459,0.00281875,
train::160::nda-10,160,nda-10,Entailment,NotMentioned,strict,True,False,False,False,A_retrieval_limited,1054,655,6978.416708065197,0.0015735,
train::160::nda-12,160,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1198,1100,9305.603874963708,0.0024995,
train::194::nda-10,194,nda-10,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1042,415,4223.213291959837,0.0010904999999999999,
train::194::nda-12,194,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1119,458,3597.6825000252575,0.00119575,
train::220::nda-12,220,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1303,499,3731.8808750715107,0.0013237499999999998,
train::220::nda-13,220,nda-13,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1306,603,6488.408791949041,0.0015325,
train::226::nda-1,226,nda-1,Entailment,Entailment,strict,True,True,True,True,n/a (correct),925,1004,10763.467625016347,0.00223925,
train::226::nda-12,226,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),923,1126,12363.851041998714,0.00248275,
train::247::nda-10,247,nda-10,Entailment,NotMentioned,strict,True,False,False,False,A_retrieval_limited,1110,467,5583.36245897226,0.0012115000000000001,
train::247::nda-12,247,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1105,578,6912.6143750036135,0.00143225,
train::248::nda-10,248,nda-10,Entailment,Contradiction,strict,True,True,True,False,B_reasoning_limited,1248,1257,10014.76287492551,0.0028260000000000004,
train::248::nda-12,248,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1245,430,4121.161624905653,0.00117125,
train::265::nda-13,265,nda-13,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1227,767,5749.590291059576,0.00184075,
train::265::nda-15,265,nda-15,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1225,802,7757.231459021568,0.00191025,
train::271::nda-13,271,nda-13,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1287,744,7936.128166038543,0.00180975,
train::271::nda-15,271,nda-15,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1285,722,10332.673999946564,0.00176525,
train::273::nda-1,273,nda-1,Entailment,NotMentioned,strict,True,False,True,False,B_reasoning_limited,1599,331,5543.771333992481,0.00106175,
train::273::nda-10,273,nda-10,Entailment,Entailment,strict,True,True,True,False,n/a (correct),1227,1264,12065.183333004825,0.00283475,
train::317::nda-12,317,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1165,567,5630.918457987718,0.00142525,
train::317::nda-13,317,nda-13,Entailment,Entailment,strict,True,False,True,False,n/a (correct),1167,831,7878.281167009845,0.00195375,
train::352::nda-12,352,nda-12,Entailment,Entailment,strict,False,False,True,False,C_evidence_selection_failure,1223,836,6064.163750037551,0.00197775,
train::352::nda-13,352,nda-13,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1226,645,5536.68766701594,0.0015964999999999998,
train::353::nda-10,353,nda-10,Entailment,NotMentioned,strict,True,False,False,False,A_retrieval_limited,1118,467,5039.212875068188,0.0012135000000000002,
train::353::nda-19,353,nda-19,Entailment,Entailment,strict,True,True,True,True,n/a (correct),935,742,9400.041416054592,0.00171775,
train::375::nda-11,375,nda-11,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1176,372,4873.151500010863,0.0010379999999999999,
train::375::nda-15,375,nda-15,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1171,537,8150.502083008178,0.0013667500000000001,
train::379::nda-10,379,nda-10,Entailment,NotMentioned,strict,True,False,False,False,A_retrieval_limited,1242,202,2662.9316670587286,0.0007145000000000001,
train::379::nda-12,379,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1323,742,6341.490584076382,0.00181475,
train::449::nda-18,449,nda-18,Entailment,Entailment,strict,True,True,True,True,n/a (correct),574,680,8153.611958958209,0.0015035,
train::457::nda-4,457,nda-4,Entailment,Entailment,strict,True,True,True,True,n/a (correct),694,1187,9481.806583935395,0.0025475,
train::466::nda-11,466,nda-11,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1131,422,4855.856915935874,0.0011267500000000001,
train::466::nda-15,466,nda-15,Entailment,Contradiction,strict,False,True,True,False,B_reasoning_limited,1126,1078,14112.043374916539,0.0024375,
train::484::nda-18,484,nda-18,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1290,738,8146.573542035185,0.0017985000000000002,
train::484::nda-8,484,nda-8,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1350,1349,16066.719791968353,0.0030355,
train::500::nda-11,500,nda-11,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1227,465,4131.288290955126,0.00123675,
train::500::nda-13,500,nda-13,Entailment,Entailment,strict,False,False,True,False,C_evidence_selection_failure,1234,822,7623.029417009093,0.0019525,
train::505::nda-3,505,nda-3,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1216,420,4564.231750089675,0.001144,
train::505::nda-4,505,nda-4,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1230,559,6310.280125006102,0.0014255000000000001,
train::518::nda-10,518,nda-10,Entailment,NotMentioned,strict,True,False,False,False,A_retrieval_limited,1478,325,3522.636750014499,0.0010195,
train::518::nda-12,518,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1063,1065,10826.13316597417,0.00239575,
train::538::nda-13,538,nda-13,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1466,1008,11892.030291026458,0.0023825,
train::538::nda-18,538,nda-18,Entailment,Entailment,strict,True,True,True,True,n/a (correct),899,1074,8948.33729090169,0.0023727500000000003,
train::603::nda-10,603,nda-10,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1179,716,6347.029583994299,0.00172675,
train::603::nda-15,603,nda-15,Entailment,Contradiction,strict,True,False,True,False,B_reasoning_limited,1016,1536,15438.873292063363,0.003326,
train::619::nda-10,619,nda-10,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1085,903,9007.78058404103,0.00207725,
train::619::nda-12,619,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1090,519,6670.371291926131,0.0013105,
train::86::nda-1,86,nda-1,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1274,229,3475.912666064687,0.0007765000000000001,
train::86::nda-10,86,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1287,308,4962.376124924049,0.00093775,
train::94::nda-13,94,nda-13,NotMentioned,Entailment,strict,True,,,False,B_reasoning_limited,1146,1272,13171.928792027757,0.0028304999999999997,
train::94::nda-16,94,nda-16,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1147,365,3874.2854580050334,0.0010167499999999999,
train::121::nda-10,121,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1066,356,4392.395874951035,0.0009785,
train::121::nda-11,121,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1157,240,2315.9664169652387,0.00076925,
train::125::nda-10,125,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1153,439,3601.0597919812426,0.00116625,
train::125::nda-11,125,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1156,253,3217.5316670909524,0.000795,
train::126::nda-1,126,nda-1,NotMentioned,Contradiction,strict,True,,,False,B_reasoning_limited,1127,529,5714.214792009443,0.0013397499999999998,
train::126::nda-10,126,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1256,346,4536.530082928948,0.001006,
train::159::nda-1,159,nda-1,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1127,262,5357.98637510743,0.00080575,
train::159::nda-11,159,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1131,251,5124.8967500869185,0.00078475,
train::164::nda-10,164,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1134,519,6668.014166993089,0.0013215000000000002,
train::164::nda-11,164,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1148,462,6735.625416971743,0.001211,
train::187::nda-1,187,nda-1,NotMentioned,Contradiction,strict,True,,,False,B_reasoning_limited,1204,643,7582.391124917194,0.001587,
train::187::nda-10,187,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1073,267,3275.928832939826,0.00080225,
train::200::nda-11,200,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1058,167,2474.1662919986993,0.0005985,
train::200::nda-12,200,nda-12,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1037,323,4022.453875048086,0.00090525,
train::222::nda-18,222,nda-18,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1333,292,3014.5689169876277,0.00091725,
train::222::nda-3,222,nda-3,NotMentioned,Entailment,strict,True,,,False,B_reasoning_limited,1307,790,6961.656250059605,0.00190675,
train::232::nda-10,232,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1166,339,4315.659999963827,0.0009695,
train::232::nda-11,232,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1169,351,4325.14774997253,0.00099425,
train::251::nda-17,251,nda-17,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1151,503,6516.716084093787,0.00129375,
train::251::nda-18,251,nda-18,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1151,322,3924.495332990773,0.0009317500000000001,
train::264::nda-12,264,nda-12,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1040,535,6209.721666993573,0.00133,
train::278::nda-1,278,nda-1,NotMentioned,Contradiction,strict,True,,,False,B_reasoning_limited,462,488,6685.609459062107,0.0010915,
train::278::nda-10,278,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),465,190,3035.7102080015466,0.0004962500000000001,
train::279::nda-1,279,nda-1,NotMentioned,Contradiction,strict,True,,,False,B_reasoning_limited,1051,1273,14546.160083031282,0.00280875,
train::279::nda-10,279,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1100,545,5589.988416060805,0.0013650000000000001,
train::280::nda-1,280,nda-1,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1225,256,2705.395207973197,0.00081825,
train::280::nda-11,280,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1229,236,2325.059458031319,0.00077925,
train::297::nda-1,297,nda-1,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1210,265,2528.7692910060287,0.0008324999999999999,
train::320::nda-1,320,nda-1,NotMentioned,Contradiction,strict,False,,,False,B_reasoning_limited,1338,1158,10804.360333015211,0.0026505,
train::320::nda-12,320,nda-12,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1358,827,10617.057582945563,0.0019935,
train::328::nda-1,328,nda-1,NotMentioned,Contradiction,strict,True,,,False,B_reasoning_limited,1297,904,12549.430458107963,0.00213225,
train::328::nda-10,328,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1238,454,5962.193249957636,0.0012174999999999998,
train::341::nda-11,341,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1127,357,3582.1089999517426,0.00099575,
train::341::nda-12,341,nda-12,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1162,282,4108.87679096777,0.0008545,
train::350::nda-1,350,nda-1,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1269,287,2662.2058749198914,0.0008912499999999999,
train::350::nda-10,350,nda-10,NotMentioned,Entailment,strict,True,,,False,B_reasoning_limited,1229,980,9503.712290897965,0.00226725,
train::366::nda-11,366,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1090,463,4127.674666931853,0.0011985,
train::366::nda-16,366,nda-16,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1089,474,5552.644917042926,0.00122025,
train::371::nda-10,371,nda-10,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1272,263,4476.475707953796,0.0008439999999999999,
train::371::nda-11,371,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1206,233,3681.5654590027407,0.0007675,
train::379::nda-11,379,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1237,263,3949.2183750262484,0.0008352500000000001,
train::379::nda-17,379,nda-17,NotMentioned,Entailment,strict,True,,,False,B_reasoning_limited,1262,1431,16792.086415924132,0.0031774999999999998,
train::439::nda-18,439,nda-18,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1189,224,2807.989500113763,0.00074525,
train::439::nda-2,439,nda-2,NotMentioned,Contradiction,strict,True,,,False,B_reasoning_limited,1166,618,5358.306916081347,0.0015274999999999998,
train::516::nda-1,516,nda-1,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1205,287,2626.5368750318885,0.0008752499999999999,
train::516::nda-11,516,nda-11,NotMentioned,NotMentioned,strict,True,,,True,n/a (correct),1070,289,3309.7659170161933,0.0008454999999999999,
