case_id,label,requirement,gold_span_count,gold_evidence_excerpt,top_retrieved_chunk_ids,top_retrieved_excerpt,gold_best_rank,failure_family,notes
train::95::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,"Neither Party will make or issue any formal or informal announcement or statement to the press or any Third Party in connection with this Agreement without the prior written consent of the other Party. 6.3. Subject to 6.5, the Receiving Party agrees that it will not, during the existence of this Agr","9,4,6,1,10","10.3. The Receiving Party shall comply with any request by the Disclosing Party in terms of this clause, within 7 (seven) business days of receipt of any such request.
11. EXCLUDED CONFIDENTIAL INFORMATION
The obligations of the Receiving Party pursuant to the provisions of this Agreement shall not ",7,ranking_failure_gold_beyond_top_k,
train::95::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,6,"5.2. know-how and trade secrets; 5.3. processes, machinery, designs, drawings, technical specifications and data relating to the Project; 5.4. any of the above information of third parties, including but not limited to supplier and customer information relating to the Project, in whatever form and w","6,10,9,4,1","6.8. Accordingly, the Receiving Party hereby indemnifies the Disclosing Party, and shall defend and hold the Disclosing Party harmless from and against any and all suits, liabilities, causes of action, claims, losses, damages, costs (including, but not limited to, cost of cover, reasonable attorneys",6,ranking_failure_gold_beyond_top_k,
train::106::nda-7,Contradiction,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",1,"For a period of two (2) years from the date of receipt, all Confidential Information shall be maintained in confidence by Recipient, shall not be disclosed, published, communicated, divulged or revealed in any manner, to any other person, firm, corporation or other third party entity, including empl","1,3,4,2,7","WHEREAS, it is in the interest of the parties hereto for Discloser to provide Recipient with certain valuable information that is considered highly confidential and proprietary, in order to most effectively further the discussions between Discloser and Recipient.
WHEREAS, Recipient acknowledges and ",6,ranking_failure_gold_beyond_top_k,
train::109::nda-5,Entailment,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,1,"(c) Recipient shall keep the Confidential Information confidential at all times and shall not disclose the Confidential Information to any person including its employees except to its employees, representatives, advisors and agents who have a need to know such information in connection with assistin","2,1,6,5,3","(b) all confidential matters of such Party including, without limitation, technical know-how, trade secrets, technical data, new product strategy, new products or processes, analysis, compilations, concepts, technical processes, formulae, recipes, specifications, inventions, research projects, custo",6,ranking_failure_gold_beyond_top_k,
train::113::nda-17,Contradiction,Receiving Party may create a copy of some Confidential Information in some circumstances.,1,"Upon PHCS’ request, all Confidential Information (and all copies, extracts or other reproductions in whole or in part thereof), whether in writing or stored or maintained in or by electronic, magnetic or other means, media or devices, shall be returned or destroyed (such destruction to be certified ","4,7,3,1,5","3. Use of Confidential Information. As a condition to the disclosure of the Confidential Information, the Recipient agrees to keep the Confidential Information confidential and not to disclose or otherwise use the Confidential Information for any purpose, other than for its business relationship wit",6,ranking_failure_gold_beyond_top_k,
train::114::nda-16,Entailment,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,2,"If the Recipient fails to submit an offer, he must then return all documents provided by the GSA within two months following the deadline for the submission of offers. If the Recipient submits an offer but is not awarded the contract, he must return all documents provided by the GSA within two month","12,8,6,2,3","11.3 This Agreement represents the entire understanding and agreement of the Parties with respect to the Confidential Information, as defined in Article 2 above, and supersedes and cancels any and all previous declarations, negotiations, commitments, communications either oral or written, approvals,",6,ranking_failure_gold_beyond_top_k,
train::114::nda-8,Entailment,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",1,"4.5 is disclosed pursuant to the request of a governmental or jurisdictional authority or is disclosed according to the law or regulations of any country with jurisdiction over the Recipient; in either case the Recipient, subject to possible constraints of such governmental or jurisdictional authori","1,2,6,12,8","Hereinafter individually referred to as the ""Party"" or collectively referred to as the ""Parties""
1 of 11
PREAMBLE
WHEREAS, the GSA has launched an open call for tenders for the provision of a PRS Operational Tool to Evaluate and Counteract Threats Originating from Radio-sources (PROTECTOR);
WHEREAS,",7,ranking_failure_gold_beyond_top_k,
train::121::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"WHEREAS, the Company has expressed a willingness to furnish to Euler Hermes and its Affiliates certain confidential financial statements and other financial information relating to the affairs of the Company, whether submitted in oral, written, magnetic, electronic, or other form and regardless of w","1,3,4,2,5","The Confidential Information may be used only for the following purposes (“Purpose”):
a. evaluation for the issuance of policies of credit insurance or bonding or issuance of an EH grade to the Company;
b. evaluation for the issuance of policies of credit insurance or bonding or issuance of an EH gr",6,ranking_failure_gold_beyond_top_k,
train::121::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,1,"WHEREAS, the Company has expressed a willingness to furnish to Euler Hermes and its Affiliates certain confidential financial statements and other financial information relating to the affairs of the Company, whether submitted in oral, written, magnetic, electronic, or other form and regardless of w","1,3,2,4,5","The Confidential Information may be used only for the following purposes (“Purpose”):
a. evaluation for the issuance of policies of credit insurance or bonding or issuance of an EH grade to the Company;
b. evaluation for the issuance of policies of credit insurance or bonding or issuance of an EH gr",6,ranking_failure_gold_beyond_top_k,
train::121::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"WHEREAS, the Company has expressed a willingness to furnish to Euler Hermes and its Affiliates certain confidential financial statements and other financial information relating to the affairs of the Company, whether submitted in oral, written, magnetic, electronic, or other form and regardless of w","1,3,2,4,5","The Confidential Information may be used only for the following purposes (“Purpose”):
a. evaluation for the issuance of policies of credit insurance or bonding or issuance of an EH grade to the Company;
b. evaluation for the issuance of policies of credit insurance or bonding or issuance of an EH gr",6,ranking_failure_gold_beyond_top_k,
train::125::nda-20,Entailment,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,1,The HNBA will keep a copy in its files for a period of two (2) years after the completion of each Candidate’s specific request.,"1,3,5,7,4","WHEREAS, the Parties wish to define their rights with respect to Confidential Information delivered to the other Party;
NOW THEREFORE, in consideration of the above premises, it is agreed as follows:
1. The term “Confidential Information” shall include:
(a) All information that is delivered by or on",6,ranking_failure_gold_beyond_top_k,
train::126::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,2,"(iii) became known to Vendor from a source other than IBC other than by the breach of an obligation of confidentiality owed to IBC; or  Confidential Information shall not include any information, other than Personal Information, however designated, that: ","7,2,8,11,6","(b) Vendor may disclose Confidential Information in accordance with a Canadian judicial or other legal binding Canadian governmental order, provided that Vendor either (i) gives IBC reasonable notice prior to such disclosure to allow IBC a reasonable opportunity to seek a protective order or equival",6,ranking_failure_gold_beyond_top_k,
train::128::nda-2,Contradiction,Confidential Information shall only include technical information.,4,"(c) Any information that would be regarded as confidential by a reasonable business person relating to: (i) The business, affairs, customers, clients, suppliers, plans, intentions, or market opportunities of the Disclosing Party; and (ii) The operations, processes, product information, know-how, des","9,7,3,5,6","4.1 All Confidential Information shall remain the property of the Disclosing Party. Each party reserves all rights in its Confidential Information. No rights, including, but not limited to, intellectual property rights, in respect of a party's Confidential Information are granted to the other party ",6,ranking_failure_gold_beyond_top_k,
train::128::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,2,"(c) Any information that would be regarded as confidential by a reasonable business person relating to: Confidential Information means all confidential information (however recorded, preserved or disclosed) disclosed by a party or its Representatives to the other party and that party's Representativ","6,10,9,8,5","(b) It procures that its Representatives shall, in relation to any Confidential Information disclosed to them, comply with this Agreement as if they were the Recipient and, if the Disclosing Party so requests, procure that any relevant Representative enters into a confidentiality agreement with the ",9,ranking_failure_gold_beyond_top_k,
train::128::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"Confidential Information means all confidential information (however recorded, preserved or disclosed) disclosed by a party or its Representatives to the other party and that party's Representatives including but not limited to:","6,3,9,5,10","(b) It procures that its Representatives shall, in relation to any Confidential Information disclosed to them, comply with this Agreement as if they were the Recipient and, if the Disclosing Party so requests, procure that any relevant Representative enters into a confidentiality agreement with the ",9,ranking_failure_gold_beyond_top_k,
train::130::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,1,"(a) ""Confidential Information"" means non public information that the Disclosing Party either designates as being confidential or which, under the circumstances surrounding disclosure ought to be treated as confidential. ","2,1,4,3,5","(a) Receiving Party shall not disclose any Confidential Information to any third parties for three (3) years following the date of its disclosure by Disclosing Party to Receiving Party, except to Receiving Party's consultants as set out below. However, Receiving Party may disclose Confidential Infor",6,ranking_failure_gold_beyond_top_k,
train::131::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,1,"This Agreement applies to any Confidential Information that may have been provided by either Party before or after the Effective Date, and will continue to govern all disclosures of Confidential Information, until terminated on thirty (30) days writ-ten notice by either Party to the other, except th","11,1,13,14,12","14. Entire Agreement. This Agreement contains the entire understanding between the Parties with respect to this subject matter, is valid if signed within forty-five (45) days after the Effective Date, and supersedes all prior understandings whether written or oral. Further modifications may be made ",7,ranking_failure_gold_beyond_top_k,
train::133::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"The Recipient understands and respects that the Owner has all proprietary rights to these materials, and that these materials are entrusted to the Recipient on basis of execution of contract tied to this Non-disclosure agreement. The Recipient acknowledges and understands that, as between the Owner ","7,3,1,4,10","STATUS
The parties understand that they are not partners or agents, and stress that both parties are to form this contract, as a result of the confidentiality needed in regards to the proper execution of a standalone contract tied to this Non-disclosure agreement. Neither party has an obligation to ",6,ranking_failure_gold_beyond_top_k,
train::133::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,1,"In consideration of the experience, know-how, training and other vital organizational or market knowledge, which is to be acquired through working for the Owner, the Employee hereby promises that he/she will NOT, either during the employment or for a period of time of (insert number of years – usual","4,7,1,3,12","In consideration for the receipt by the Recipient of information, the Recipient agrees to:
- Hold the information in confidence and will not, in any way, disclose the information to any person or entity without prior written ascent of the Owner
- Not copy or, in any way, modify any information witho",10,ranking_failure_gold_beyond_top_k,
train::136::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,"2.6 No Party shall make, or permit any person to make, any public announcement concerning this Agreement, the Purpose or its prospective interest in the Purpose without the prior written consent of the other Party (such consent not to be unreasonably withheld or delayed) except as required by law or","11,6,9,5,2","4.3 The disclosure of Confidential Information by the Disclosing Party shall not form any offer by, or representation or warranty on the part of, the Disclosing Party to enter into any further agreement in relation to the Purpose, or the development or supply of any product or service to which the C",8,ranking_failure_gold_beyond_top_k,
train::136::nda-2,Contradiction,Confidential Information shall only include technical information.,4,"“Purpose”: means the exchange of Confidential Information, trade secrets, know-how and samples in order to evaluate and pursue the objective of one or more potential business arrangements with respect to Kenway’s potential to supply the Company with information, products and/or designs that are prop","10,5,2,11,6","4.1 All Confidential Information shall remain the property of the Disclosing Party. Each Party reserves all rights in its Confidential Information. No rights, including, but not limited to, intellectual property rights, in respect of a party's Confidential Information are granted to the other Party ",6,ranking_failure_gold_beyond_top_k,
train::136::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,1,"“Confidential Information:” means all confidential information (however recorded, preserved or disclosed) disclosed by a Party or its Representatives to the other Party and that Party's Representatives including but not limited to: the fact that discussions and negotiations are taking place concerni","9,10,5,6,7","3.2 If the Recipient develops or uses a product or a process which, in the reasonable opinion of the Disclosing Party, might have involved the use of any of the Disclosing Party's Confidential Information, the Recipient shall, at the request of the Disclosing Party, supply to the Disclosing Party in",12,ranking_failure_gold_beyond_top_k,
train::136::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"“Confidential Information:” means all confidential information (however recorded, preserved or disclosed) disclosed by a Party or its Representatives to the other Party and that Party's Representatives including but not limited to: the fact that discussions and negotiations are taking place concerni","2,5,9,6,7",(a) that is or becomes generally available to the public other than as a result of its disclosure by the Recipient or its Representatives in breach of this Agreement or of any other undertaking of confidentiality addressed to the Party to whom the information relates (except that any compilation of ,6,ranking_failure_gold_beyond_top_k,
train::136::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,2,"The Recipient shall keep the Disclosing Party's Confidential Information confidential and, except with the prior written consent of the Disclosing Party, shall: (a) not use or exploit the Confidential Information in any way except for the Purpose;","5,11,10,7,2","(b) not disclose or make available the Confidential Information in whole or in part to any third party, except as expressly permitted by this Agreement;
(c) not copy, reduce to writing or otherwise record the Confidential Information except as strictly necessary for the Purpose (and any such copies,",15,ranking_failure_gold_beyond_top_k,
train::144::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,(c) was developed by employees or agents of Recipient independently of and without reference to any of Discloser’s Confidential Information; or  3. Recipient’s obligations under Section 2 will not apply to any of Discloser’s Confidential Information that Recipient can document: ,"1,2,6,5,4","Confidential Information includes all of the following, whether or not reduced to tangible form: software codes and computer programs; trade secrets, patents, patent applications, and copyrights; know-how, processes, research, development, ideas, and inventions (whether patentable or not); formulas ",6,ranking_failure_gold_beyond_top_k,
train::145::nda-16,Entailment,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,2,ICC  Court members undertake that their firm or company will not use the Confidential information or Proprietary information for any other purpose and remain responsible for ensuring that such information is immediately destroyed upon conclusion of the conflict check.,"6,5,7,2,1","ICC therefore reserves the right to take whatever injunctive or other action it deems necessary, at law, in equity or otherwise to protect its interests in the event of any actual and/or alleged breach of this Agreement by the Member.
Article 12 – Disposal
Within ninety (90) days of termination of t",6,ranking_failure_gold_beyond_top_k,
train::147::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"Vendor acknowledges and agrees that: (1) it does not acquire by implication or otherwise any right, title or interest in or to the Confidential Information and ISCA IPR, including any licence;","5,9,2,7,4","2.1 The Vendor hereby agrees to maintain as confidential and agrees not to use except for the Limited Purpose, any part or the whole of any Confidential Information.",9,ranking_failure_gold_beyond_top_k,
train::149::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"1) “Proprietary Information” shall include, but not be limited to, information regarding business matters, know-how, data (technical or non-technical), product samples and specifications, customer information, as well as performance, sales, financial, contractual and special marketing information, i","1,5,2,4,3",2) Proprietary Information must be: (a) in writing; (b) clearly identified as Proprietary Information at the time of its disclosure by each page thereof being marked with an appropriate legend indicating that the information is deemed proprietary by the disclosing Party; and (c) delivered by letter ,6,ranking_failure_gold_beyond_top_k,
train::150::nda-1,Entailment,All Confidential Information shall be expressly identified by the Disclosing Party.,1,"j. Confidential Information: any information disclosed by one Party (the ‘Discloser’) to another party (the ‘Recipient’) relating directly or indirectly to the Project, which is identified by the disclosing Party, either orally or in writing, as confidential, either at the time of disclosure or, if ","10,12,11,4,9","5. DESIGNATED REPRESENTATIVES: Each party designates a representative for coordinating receipt, release and delivery of Confidential Information, which for McGill will be Intern AND Name of Academic Supervisor and/or Office of Sponsored Research representative and for Sponsor: Name of designated rep",16,ranking_failure_gold_beyond_top_k,
train::150::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"j. Confidential Information: any information disclosed by one Party (the ‘Discloser’) to another party (the ‘Recipient’) relating directly or indirectly to the Project, which is identified by the disclosing Party, either orally or in writing, as confidential, either at the time of disclosure or, if ","12,4,11,10,21","8. STANDARD OF CARE: Recipient agrees to protect the Confidential Information using at least the same degree of care Recipient uses to protect its own Confidential Information, but in no event less than reasonable care. Recipient must notify Discloser promptly upon discovery that any Confidential In",9,ranking_failure_gold_beyond_top_k,
train::153::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,1,"""Confidential information"" in the sense of this agreement is all the information of a financial, commercial, technical or other confidential nature, in particular all specifications, descriptions, drafts, drawings, constructions, cross-sections, samples, data, files, inventions, formulas, procedures","1,3,2,5,6","In particular, data in connection with accounting, such as balance sheets, interim balance sheets, reports, analyses, supporting documents and the like are confidential information as defined by the agreement.
II. Non-Disclosure Agreement
The Partner shall protect the confidential information disclo",7,ranking_failure_gold_beyond_top_k,
train::154::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"7. No right or license whatsoever, expressed or implied, is granted by either Party to the other pursuant to this Agreement under any patent, patent application, copyright, trademark or other proprietary right now or hereafter held by or licensed to Provider.  No legal obligations, rights, relations","2,6,4,3,0","NOW THEREFORE, inconsideration of the foregoing and the mutual obligations and undertakings set forth below, the Parties hereto agree as follows:
1. The Preamble forms an integral part of this Agreement.
2. Definitions:
(a) “Confidential Information” means the information relating to the Purpose pro",7,ranking_failure_gold_beyond_top_k,
train::156::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,"(b) All information provided by either ""Party"" to the other party shall remain the sole and exclusive property of the Provider. ","2,4,1,5,7","PROTECTION OF CONFIDENTIAL INFORMATION - Both parties understand and acknowledge that the Confidential Information has been developed or obtained by stated parties by investment of significant time, effort and exposure, and that the confidential information is a valuable, special and unique asset of",6,ranking_failure_gold_beyond_top_k,
train::156::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"The terms and existence of this Agreement, the fact that Confidential Information has been made available hereunder, that discussions or negotiations are taking place concerning a potential business relationship involving the Parties and all the terms, conditions, and other facts with respect theret","4,5,7,2,6",AGREEMENT - This mutual non-circumvent and non-disclosure agreement is for the purpose of protecting new business developed jointly by the Parties therein. The Undersigned agree that they shall not use proprietary information or trade secrets unknown to the general public belonging to the Providing ,7,ranking_failure_gold_beyond_top_k,
train::160::nda-7,Entailment,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",2,"Each party has requested or may be receiving from the other party information of a non-public nature for use by each party and its officers, directors, agents, employees, and representatives, including financial and legal advisers and, if either party is a partnership, its partners (collectively, ""R","1,3,7,2,6","2.0 Confidential Information Defined
The parties acknowledge that, in the course of their consideration of and any concurrent or subsequent discussions between CVS and Vendor or their representatives relating to the Project, each party may receive certain non-public and confidential information from",6,ranking_failure_gold_beyond_top_k,
train::161::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,"Confidential Information disclosed by Discloser shall remain the property of such Discloser, and no license or other rights to such Discloser’s Confidential Information is granted or implied hereby. ","4,3,7,1,5","(d) not to reproduce or copy Confidential Information except to the extent necessary to further the Purpose.
Furthermore, the existence of any business negotiations, discussions or agreements in progress between the parties shall be kept confidential and shall not be disclosed without written approv",8,ranking_failure_gold_beyond_top_k,
train::163::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,Recipient may not assert any claim of title or ownership to the Proprietary Information or any portion thereof. ,"3,7,4,8,6","Subject to the foregoing exceptions, “Proprietary Information” also includes, without limitation, third-party information that Discloser has the right to disclose to Recipient. Nothing disclosed under this Agreement is considered Proprietary Information unless (a) it is received in a tangible form a",11,ranking_failure_gold_beyond_top_k,
train::163::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,3,"(b) personnel, business practices, business policies, the terms of any agreements between the Parties, pricing information, information relating to research and development, know-how, methodologies, inventions, specifications, software, market analyses, research strategies, projections, forecasts, p","1,4,8,3,6","1. Scope. BMC and You (the “Parties”) desire to disclose certain confidential information in connection with (a) an existing business relationship, (b) the discussion or validation of business proposals or design concepts, or (c) a future business relationship (the “Purpose”).
2. Discloser and Recip",6,ranking_failure_gold_beyond_top_k,
train::166::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"14. Each party agrees to keep the existence and terms of this Agreement, and that the parties are having discussions related to the Opportunity, strictly confidential, and will not disclose the existence or terms of this Agreement, or that such discussions are taking place, to any third party withou","5,3,7,6,2","8. The receiving party shall not directly or indirectly contact any shareholders, officers, employees, affiliates, agents, lending institutions, customers or suppliers of the disclosing party in connection with a possible transaction involving the disclosing party without the prior written consent o",6,ranking_failure_gold_beyond_top_k,
train::170::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,"Except as provided in Clause 4, each Party agrees that it will not, without the other Party’s prior written approval, disclose to any third party the fact that the Parties are discussing the Project.  The Parties acknowledge that the provisions of this Agreement shall apply in respect of the content","6,5,1,2,4","4.Notwithstanding Clause 2.1, the Receiving Party shall not be prevented from disclosing Confidential Information, where (i) such disclosure is in response to a valid order of a court or any other governmental body having jurisdiction over this Agreement or (ii) such disclosure is otherwise required",7,ranking_failure_gold_beyond_top_k,
train::174::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,4,"The Recipient acknowledges that the Confidential Information and Trade Secrets, and any intellectual property rights in the same (including copyright, design and patent rights) are the exclusive property of and will remain the exclusive property of Room2Rent. The Recipient acknowledges that any inve","1,7,2,5,3","1.2 Definitions
The following definitions apply unless the context requires otherwise:
""Confidential Information"" means all information of whatever nature directly or indirectly concerning the System, or related to, the affairs, business, finances, assets, transactions or trade secrets of Room2Rent ",7,ranking_failure_gold_beyond_top_k,
train::179::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"To further the potential business relationship between AirWatch and Company (the “Purpose”), it is necessary and desirable that each party to this Agreement furnish the other party with certain proprietary information, which includes, but is not limited to that which relates to software, computer co","3,2,1,4,7","5. This Agreement, the resulting disclosure of Confidential Information and any subsequent discussions between the Parties shall not create any obligations other than those expressly stated herein and the parties shall not be obligated to enter into any further agreement relating to the Purpose. Not",8,ranking_failure_gold_beyond_top_k,
train::189::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,1,"1. In this agreement, “Information” shall mean the whole or any portion of any knowledge, data or information relating to the activities or business of each party which may be in tangible or intangible form, expressed orally, in writing or in any other form (whether or not marked confidential) inclu","3,4,1,5,6","3. The Information of each party is and shall remain that party’s sole, exclusive and valuable property. Nothing in this Agreement or in any disclosures of Information by either party shall be construed as granting or conferring to the other party any license, rights, title or any interest whatsoeve",7,ranking_failure_gold_beyond_top_k,
train::189::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,"5. The obligations contained herein shall not apply to Information which: (b) was independently developed or acquired by the receiving party, other than by a breach of this Agreement;","1,3,7,6,4","WHEREAS COMPANY A and COMPANY B intend to disclose to each other certain information for the development and marketing of communication, audio, security and other added value products (the “Purpose”); and
WHEREAS it is vital to the commercial interests of COMPANY A and COMPANY B that both parties re",6,ranking_failure_gold_beyond_top_k,
train::191::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,2,"The following shall not be considered Confidential Information:  (c) information that becomes known to the Receiving Party from a source other than the Disclosing Party, as demonstrated by appropriate documentation, without breach of any obligation of confidence by the Receiving Party; for the avoid","3,4,1,5,6","The Receiving Party shall not copy (in whole or in part), sell, assign, lease, license, disclose, give or otherwise transfer the Confidential Information or any copy thereof to any third party or otherwise use the Confidential Information other than for the purpose intended under this Agreement. The",6,ranking_failure_gold_beyond_top_k,
