case_id,document_id,hypothesis_id,gold_label,predicted_label,parse_status,evidence_valid,evidence_hit,joint_success,failure_families,input_tokens,latency_ms,notes
train::316::nda-2,316,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1883,7931.460833991878,
train::318::nda-2,318,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,2699,11465.341500006616,
train::338::nda-17,338,nda-17,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1708,7468.591000069864,
train::338::nda-2,338,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1701,7219.359749928117,
train::366::nda-2,366,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1335,5746.491249999963,
train::366::nda-20,366,nda-20,Contradiction,Contradiction,strict,True,True,True,,1345,8993.269249913283,
train::373::nda-11,373,nda-11,Contradiction,Entailment,strict,False,False,False,A_classification_reasoning_failure;E_exception_carveout_candidate;B_evidence_selection_failure,2188,15880.44091698248,
train::373::nda-2,373,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,2178,9618.13429207541,
train::438::nda-2,438,nda-2,Contradiction,NotMentioned,recovered,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,3924,19207.88870798424,
train::438::nda-20,438,nda-20,Contradiction,NotMentioned,recovered,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,3934,18670.733832987025,
train::473::nda-17,473,nda-17,Contradiction,Contradiction,strict,True,True,True,,1521,10321.151416981593,
train::473::nda-7,473,nda-7,Contradiction,Contradiction,strict,True,True,True,,1528,9732.827125000767,
train::487::nda-2,487,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1730,7738.39075001888,
train::487::nda-20,487,nda-20,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1740,7396.870750002563,
train::501::nda-1,501,nda-1,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1100,4801.482415990904,
train::501::nda-2,501,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1095,4850.712083047256,
train::515::nda-2,515,nda-2,Contradiction,NotMentioned,recovered,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,5756,28811.358458944596,
train::515::nda-20,515,nda-20,Contradiction,NotMentioned,recovered,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,5766,28343.01141591277,
train::551::nda-2,551,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,3285,13829.742375062779,
train::551::nda-20,551,nda-20,Contradiction,Contradiction,strict,False,False,False,B_evidence_selection_failure,3295,20116.362417000346,
train::553::nda-2,553,nda-2,Contradiction,NotMentioned,recovered,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,4655,22214.195166015998,
train::553::nda-20,553,nda-20,Contradiction,NotMentioned,recovered,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,4665,22465.549999964423,
train::560::nda-1,560,nda-1,Contradiction,Entailment,strict,False,False,False,A_classification_reasoning_failure;E_exception_carveout_candidate;B_evidence_selection_failure,1477,6825.918000075035,
train::560::nda-2,560,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1472,5899.171708035283,
train::618::nda-2,618,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,5135,22940.656042075716,
train::145::nda-12,145,nda-12,Entailment,Contradiction,strict,False,False,False,A_classification_reasoning_failure;B_evidence_selection_failure,2100,11296.597582986578,
train::145::nda-13,145,nda-13,Entailment,Contradiction,strict,False,False,False,A_classification_reasoning_failure;B_evidence_selection_failure,2103,9674.175666994415,
train::146::nda-13,146,nda-13,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,1008,6689.34812489897,
train::146::nda-17,146,nda-17,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,1008,6644.294167053886,
train::160::nda-10,160,nda-10,Entailment,Entailment,strict,True,False,False,,2375,15712.8986249445,
train::160::nda-12,160,nda-12,Entailment,Entailment,strict,True,True,False,,2372,12509.407832985744,
train::194::nda-10,194,nda-10,Entailment,Entailment,strict,False,False,False,B_evidence_selection_failure,2375,16850.848375004716,
train::194::nda-12,194,nda-12,Entailment,Entailment,strict,True,True,True,,2372,10402.891416917555,
train::220::nda-12,220,nda-12,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,2786,13746.098833042197,
train::220::nda-13,220,nda-13,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,2789,13850.777999963611,
train::226::nda-1,226,nda-1,Entailment,Entailment,strict,True,True,False,,950,5292.6916249562055,
train::226::nda-12,226,nda-12,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,949,5030.500749940984,
train::247::nda-10,247,nda-10,Entailment,Contradiction,strict,False,False,False,A_classification_reasoning_failure;B_evidence_selection_failure,3093,13897.989875054918,
train::247::nda-12,247,nda-12,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,3090,13169.97899999842,
train::248::nda-10,248,nda-10,Entailment,Entailment,strict,True,True,True,,1524,10507.48512498103,
train::248::nda-12,248,nda-12,Entailment,Entailment,strict,True,True,True,,1521,7571.488083107397,
train::265::nda-13,265,nda-13,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,1419,8396.449583000503,
train::265::nda-15,265,nda-15,Entailment,Contradiction,strict,False,False,False,A_classification_reasoning_failure;B_evidence_selection_failure,1417,9013.569209026173,
train::271::nda-13,271,nda-13,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,1377,9276.461125002243,
train::271::nda-15,271,nda-15,Entailment,Contradiction,strict,False,False,False,A_classification_reasoning_failure;B_evidence_selection_failure,1375,7719.426374998875,
train::273::nda-1,273,nda-1,Entailment,Entailment,strict,False,False,False,B_evidence_selection_failure,5804,31537.843583035283,
train::273::nda-10,273,nda-10,Entailment,Entailment,strict,True,False,False,,5806,28240.07854203228,
train::317::nda-12,317,nda-12,Entailment,NotMentioned,recovered,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,4057,21154.339874978177,
train::317::nda-13,317,nda-13,Entailment,Contradiction,strict,False,False,False,A_classification_reasoning_failure;B_evidence_selection_failure,4060,18821.886125020683,
train::352::nda-12,352,nda-12,Entailment,Entailment,strict,False,False,False,B_evidence_selection_failure,2058,15955.234749941155,
train::352::nda-13,352,nda-13,Entailment,Contradiction,strict,True,True,False,A_classification_reasoning_failure,2061,11855.723166954704,
train::353::nda-10,353,nda-10,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,1865,8025.319583015516,
train::353::nda-19,353,nda-19,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,1860,8207.845292054117,
train::375::nda-11,375,nda-11,Entailment,Entailment,strict,True,True,True,,1308,7380.89737505652,
train::375::nda-15,375,nda-15,Entailment,Entailment,strict,True,True,True,,1303,7431.555249961093,
train::379::nda-10,379,nda-10,Entailment,Entailment,strict,True,False,False,,2588,13830.929457908496,
train::379::nda-12,379,nda-12,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,2585,10644.156208029017,
train::449::nda-18,449,nda-18,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,594,2774.231000104919,
train::457::nda-4,457,nda-4,Entailment,Entailment,strict,False,False,False,B_evidence_selection_failure,727,6030.684749945067,
train::466::nda-11,466,nda-11,Entailment,Entailment,strict,True,True,True,,1421,12915.777040994726,
train::466::nda-15,466,nda-15,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,1416,8928.02983301226,
train::484::nda-18,484,nda-18,Entailment,Entailment,strict,True,True,True,,1995,26593.81170803681,
train::484::nda-8,484,nda-8,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,2009,42328.6467079306,
train::500::nda-11,500,nda-11,Entailment,Entailment,strict,True,True,True,,2497,23364.952665986493,
train::500::nda-13,500,nda-13,Entailment,Contradiction,strict,True,False,False,A_classification_reasoning_failure,2494,18020.25812503416,
train::505::nda-3,505,nda-3,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,3333,18905.565041932277,
train::505::nda-4,505,nda-4,Entailment,Entailment,strict,True,True,True,,3345,84038.91895792913,
train::518::nda-10,518,nda-10,Entailment,Entailment,strict,True,True,True,,4313,41050.384833011776,
train::518::nda-12,518,nda-12,Entailment,Entailment,strict,True,True,True,,4310,21589.29250005167,
train::538::nda-13,538,nda-13,Entailment,Contradiction,strict,True,True,False,A_classification_reasoning_failure,4886,30197.734375018626,
train::538::nda-18,538,nda-18,Entailment,Entailment,strict,False,False,False,B_evidence_selection_failure,4885,23198.327083024196,
train::603::nda-10,603,nda-10,Entailment,Entailment,strict,True,True,True,,1965,13212.36254204996,
train::603::nda-15,603,nda-15,Entailment,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction,1963,8060.668334015645,
train::619::nda-10,619,nda-10,Entailment,Entailment,strict,True,False,False,,2918,15845.20674997475,
train::619::nda-12,619,nda-12,Entailment,Entailment,strict,False,False,False,B_evidence_selection_failure,2915,13982.022374984808,
train::86::nda-1,86,nda-1,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,2755,13283.768916036934,
train::86::nda-10,86,nda-10,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,2757,13265.863583073951,
train::94::nda-13,94,nda-13,NotMentioned,Contradiction,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,1453,9328.283083043061,
train::94::nda-16,94,nda-16,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,1454,8992.627416970208,
train::121::nda-10,121,nda-10,NotMentioned,Contradiction,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,1307,6095.955583034083,
train::121::nda-11,121,nda-11,NotMentioned,Contradiction,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,1310,6388.293750002049,
train::125::nda-10,125,nda-10,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,1999,13283.885375014506,
train::125::nda-11,125,nda-11,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,2002,13091.764166019857,
train::126::nda-1,126,nda-1,NotMentioned,NotMentioned,recovered,True,,True,,3943,21054.658915963955,
train::126::nda-10,126,nda-10,NotMentioned,Contradiction,recovered,True,,False,A_classification_reasoning_failure,3945,20398.858041968197,
train::159::nda-1,159,nda-1,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,2154,15615.979166002944,
train::159::nda-11,159,nda-11,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,2159,9751.013458007947,
train::164::nda-10,164,nda-10,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,2796,18725.11141607538,
train::164::nda-11,164,nda-11,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,2799,16124.51145797968,
train::187::nda-1,187,nda-1,NotMentioned,NotMentioned,strict,True,,True,,1427,6231.462334049866,
train::187::nda-10,187,nda-10,NotMentioned,NotMentioned,strict,True,,True,,1429,6088.549959007651,
train::200::nda-11,200,nda-11,NotMentioned,NotMentioned,strict,True,,True,,1447,5906.569708022289,
train::200::nda-12,200,nda-12,NotMentioned,Contradiction,strict,True,,False,A_classification_reasoning_failure,1441,8368.44466603361,
train::222::nda-18,222,nda-18,NotMentioned,NotMentioned,strict,True,,True,,2766,11856.571082957089,
train::222::nda-3,222,nda-3,NotMentioned,NotMentioned,strict,True,,True,,2760,11910.868833074346,
train::232::nda-10,232,nda-10,NotMentioned,Contradiction,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,2044,9282.123624929227,
train::232::nda-11,232,nda-11,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,2047,9488.236750010401,
train::251::nda-17,251,nda-17,NotMentioned,NotMentioned,strict,True,,True,,1255,5684.676292003132,
train::251::nda-18,251,nda-18,NotMentioned,NotMentioned,strict,True,,True,,1254,5568.124625016935,
train::264::nda-12,264,nda-12,NotMentioned,NotMentioned,strict,True,,True,,1115,4967.402708018199,
train::278::nda-1,278,nda-1,NotMentioned,NotMentioned,strict,True,,True,,480,2447.6385000161827,
train::278::nda-10,278,nda-10,NotMentioned,NotMentioned,strict,True,,True,,482,2272.641667048447,
train::279::nda-1,279,nda-1,NotMentioned,NotMentioned,strict,True,,True,,1320,5582.863042014651,
train::279::nda-10,279,nda-10,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,1322,7063.083249959163,
train::280::nda-1,280,nda-1,NotMentioned,NotMentioned,strict,True,,True,,1864,8179.722334025428,
train::280::nda-11,280,nda-11,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,1869,9022.936167079024,
train::297::nda-1,297,nda-1,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,5123,40448.50299996324,
train::320::nda-1,320,nda-1,NotMentioned,NotMentioned,strict,True,,True,,2398,10153.82737503387,
train::320::nda-12,320,nda-12,NotMentioned,Contradiction,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,2397,11462.962833000347,
train::328::nda-1,328,nda-1,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,2998,17889.222999918275,
train::328::nda-10,328,nda-10,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,3000,15330.581957940012,
train::341::nda-11,341,nda-11,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,2391,14029.681083979085,
train::341::nda-12,341,nda-12,NotMentioned,NotMentioned,strict,True,,True,,2385,10012.180207995698,
train::350::nda-1,350,nda-1,NotMentioned,NotMentioned,strict,True,,True,,1923,8444.681249908172,
train::350::nda-10,350,nda-10,NotMentioned,Contradiction,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,1925,13447.407833999023,
train::366::nda-11,366,nda-11,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,1345,6880.893666995689,
train::366::nda-16,366,nda-16,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,1343,9533.041000016965,
train::371::nda-10,371,nda-10,NotMentioned,Entailment,strict,True,,False,A_classification_reasoning_failure,2177,13629.717665957287,
train::371::nda-11,371,nda-11,NotMentioned,Entailment,strict,False,,False,A_classification_reasoning_failure;B_evidence_selection_failure,2180,10201.055541052483,
train::379::nda-11,379,nda-11,NotMentioned,NotMentioned,strict,True,,True,,2591,11480.344666983001,
train::379::nda-17,379,nda-17,NotMentioned,NotMentioned,strict,True,,True,,2588,10662.752083037049,
train::439::nda-18,439,nda-18,NotMentioned,NotMentioned,strict,True,,True,,2361,9903.910207911395,
train::439::nda-2,439,nda-2,NotMentioned,NotMentioned,strict,True,,True,,2355,9929.209291003644,
train::516::nda-1,516,nda-1,NotMentioned,NotMentioned,strict,True,,True,,3419,15023.454332957044,
train::516::nda-11,516,nda-11,NotMentioned,NotMentioned,strict,True,,True,,3424,15466.192624997348,
