case_id,document_id,hypothesis_id,gold_label,predicted_label,parse_status,evidence_valid,retrieval_contains_gold,joint_success,retrieval_aware_family,failure_family,input_tokens,generation_latency_ms,total_retrieval_latency_ms,notes
train::178::nda-20,178,nda-20,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1009,7492.611749912612,480.1669999724254,
train::239::nda-17,239,nda-17,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),530,5833.340041921474,474.5665000518784,
train::239::nda-20,239,nda-20,Contradiction,Contradiction,strict,False,True,True,C_evidence_selection_failure,n/a (correct),533,6991.3066669832915,382.3435000376776,
train::276::nda-17,276,nda-17,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1244,7925.717000034638,458.60141701996326,
train::276::nda-20,276,nda-20,Contradiction,Contradiction,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1247,7689.700167044066,426.48225009907037,
train::283::nda-1,283,nda-1,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1371,6145.458457991481,493.83129202760756,
train::283::nda-2,283,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1255,5508.370416006073,527.6314159855247,
train::300::nda-2,300,nda-2,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1269,9588.000708026811,827.2430420620367,
train::300::nda-20,300,nda-20,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1147,4976.4203750528395,518.8577499939129,
train::316::nda-17,316,nda-17,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1109,7511.571416980587,316.3544590352103,
train::316::nda-2,316,nda-2,Contradiction,Contradiction,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1102,14261.89979200717,400.15879191923887,
train::318::nda-2,318,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1190,5038.460208103061,475.37158301565796,
train::338::nda-17,338,nda-17,Contradiction,Contradiction,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1090,6932.663334067911,389.0215829014778,
train::338::nda-2,338,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1087,4960.536082973704,434.4892499502748,
train::366::nda-2,366,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1094,4786.624667001888,555.387125001289,
train::366::nda-20,366,nda-20,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1103,8062.512499978766,190.19524997565895,
train::373::nda-11,373,nda-11,Contradiction,Entailment,strict,True,True,False,B_reasoning_limited,exception_carveout_candidate,1163,6981.448833015747,661.7726249387488,
train::373::nda-2,373,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1226,5271.153207984753,462.1978329960257,
train::438::nda-2,438,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_retrieval_limited,"retrieval_miss (NotMentioned overprediction, evidence absent)",1297,5470.641915919259,438.7694160686806,
train::438::nda-20,438,nda-20,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1362,5922.005041036755,422.2374999662861,
train::473::nda-17,473,nda-17,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1144,10645.898249931633,546.3427910581231,
train::473::nda-7,473,nda-7,Contradiction,Contradiction,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1028,7158.288832986727,178.51058300584555,
train::487::nda-2,487,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1106,4757.365291938186,251.9694169750437,
train::487::nda-20,487,nda-20,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1082,6787.998542073183,188.66979202721268,
train::501::nda-1,501,nda-1,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1106,5769.1739168949425,458.9054579846561,
train::501::nda-2,501,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1101,4704.102999996394,221.636458998546,
train::515::nda-2,515,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1797,7494.293333031237,430.8944580843672,
train::515::nda-20,515,nda-20,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1641,11395.2925830381,494.3882499355823,
train::551::nda-2,551,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1174,5002.426958992146,401.0992079274729,
train::551::nda-20,551,nda-20,Contradiction,Entailment,strict,True,True,False,B_reasoning_limited,exception_carveout_candidate,1132,6801.917333970778,314.68820897862315,
train::553::nda-2,553,nda-2,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1232,19851.623042020947,475.5897088907659,
train::553::nda-20,553,nda-20,Contradiction,Contradiction,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1366,10379.125750041567,844.219291000627,
train::560::nda-1,560,nda-1,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1234,5256.553290993907,343.137833988294,
train::560::nda-2,560,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1318,5616.520166979171,190.76583406422287,
train::618::nda-2,618,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1258,5287.192000076175,331.88258309382945,
train::145::nda-12,145,nda-12,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1416,8279.939166037366,252.6030420558527,
train::145::nda-13,145,nda-13,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1325,5382.521791034378,294.00200000964105,
train::146::nda-13,146,nda-13,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1012,4188.8445829972625,172.08375001791865,
train::146::nda-17,146,nda-17,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1012,4321.7297500232235,166.6244580410421,
train::160::nda-10,160,nda-10,Entailment,NotMentioned,strict,True,False,False,A_retrieval_limited,"retrieval_miss (NotMentioned overprediction, evidence absent)",1067,4737.818542052992,288.285999908112,
train::160::nda-12,160,nda-12,Entailment,Entailment,strict,True,True,False,n/a (correct),n/a (correct),1209,10336.499625002034,512.9061669576913,
train::194::nda-10,194,nda-10,Entailment,Entailment,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1068,8741.22745799832,645.3235000371933,
train::194::nda-12,194,nda-12,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),1149,5317.327082972042,625.0994169386104,
train::220::nda-12,220,nda-12,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),1299,6014.0339999925345,239.36987505294383,
train::220::nda-13,220,nda-13,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1302,7295.98737496417,226.40645795036107,
train::226::nda-1,226,nda-1,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),955,4267.466375022195,240.59704097453505,
train::226::nda-12,226,nda-12,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,954,10516.988208983094,408.94412505440414,
train::247::nda-10,247,nda-10,Entailment,NotMentioned,strict,True,False,False,A_retrieval_limited,"retrieval_miss (NotMentioned overprediction, evidence absent)",1142,5208.786416100338,584.8386250436306,
train::247::nda-12,247,nda-12,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1132,5145.365957985632,523.5621670726687,
train::248::nda-10,248,nda-10,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1282,8651.31616697181,164.57812499720603,
train::248::nda-12,248,nda-12,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),1279,7811.504999990575,207.31495798099786,
train::265::nda-13,265,nda-13,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1237,7582.901125075296,432.6076249126345,
train::265::nda-15,265,nda-15,Entailment,Contradiction,strict,False,True,False,B_reasoning_limited,evidence_paraphrasing,1235,6069.229666958563,190.08870900142938,
train::271::nda-13,271,nda-13,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1307,8824.564375099726,528.5832079825923,
train::271::nda-15,271,nda-15,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1305,6827.455334016122,528.8269589655101,
train::273::nda-1,273,nda-1,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1630,6858.394042006694,496.073333080858,
train::273::nda-10,273,nda-10,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1257,12762.971958960406,689.6947909845039,
train::317::nda-12,317,nda-12,Entailment,Entailment,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1200,7734.741624910384,770.5275000771508,
train::317::nda-13,317,nda-13,Entailment,Contradiction,strict,False,True,False,B_reasoning_limited,evidence_paraphrasing,1204,8064.662292017601,364.0129170380533,
train::352::nda-12,352,nda-12,Entailment,Entailment,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1253,8543.507374939509,185.23691711016,
train::352::nda-13,352,nda-13,Entailment,Contradiction,strict,True,True,False,B_reasoning_limited,reasoning_failure_evidence_present,1256,10019.704167032614,443.3312910841778,
train::353::nda-10,353,nda-10,Entailment,NotMentioned,strict,True,False,False,A_retrieval_limited,"retrieval_miss (NotMentioned overprediction, evidence absent)",1148,4890.198249951936,235.55029195267707,
train::353::nda-19,353,nda-19,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),963,4191.924166982062,194.0799580188468,
train::375::nda-11,375,nda-11,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),1211,7427.060666959733,206.7968329647556,
train::375::nda-15,375,nda-15,Entailment,Contradiction,strict,False,True,False,B_reasoning_limited,evidence_paraphrasing,1206,6875.183416996151,584.6711660269648,
train::379::nda-10,379,nda-10,Entailment,NotMentioned,strict,True,False,False,A_retrieval_limited,"retrieval_miss (NotMentioned overprediction, evidence absent)",1278,5399.887291016057,506.85579201672226,
train::379::nda-12,379,nda-12,Entailment,Contradiction,strict,False,True,False,B_reasoning_limited,evidence_paraphrasing,1366,11730.843666009605,180.36387499887496,
train::449::nda-18,449,nda-18,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),596,2715.515249990858,103.2484999159351,
train::457::nda-4,457,nda-4,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),730,6110.447374987416,89.12141702603549,
train::466::nda-11,466,nda-11,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),1168,14813.213082961738,154.62549997027963,
train::466::nda-15,466,nda-15,Entailment,Entailment,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1163,10811.481415992603,634.341457975097,
train::484::nda-18,484,nda-18,Entailment,Entailment,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1306,10539.774667005986,514.519750024192,
train::484::nda-8,484,nda-8,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1369,5781.577584100887,286.39579098671675,
train::500::nda-11,500,nda-11,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),1279,9250.342667102814,234.72658300306648,
train::500::nda-13,500,nda-13,Entailment,Contradiction,strict,False,True,False,B_reasoning_limited,evidence_paraphrasing,1282,5954.018459073268,255.16608299221843,
train::505::nda-3,505,nda-3,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1249,5350.466375006363,323.86887504253536,
train::505::nda-4,505,nda-4,Entailment,Contradiction,strict,False,True,False,B_reasoning_limited,evidence_paraphrasing,1261,12079.239874961786,291.00750002544373,
train::518::nda-10,518,nda-10,Entailment,Contradiction,strict,False,False,False,A_retrieval_limited,evidence_paraphrasing,1508,7278.173582977615,711.8309169309214,
train::518::nda-12,518,nda-12,Entailment,Entailment,strict,True,True,False,n/a (correct),n/a (correct),1089,7121.322124963626,686.2318339990452,
train::538::nda-13,538,nda-13,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1512,6434.397500008345,439.4440420437604,
train::538::nda-18,538,nda-18,Entailment,Entailment,strict,False,True,False,C_evidence_selection_failure,n/a (correct),936,14332.804291974753,479.77995791006833,
train::603::nda-10,603,nda-10,Entailment,Entailment,strict,True,True,True,n/a (correct),n/a (correct),1210,9533.444833941758,522.1895839786157,
train::603::nda-15,603,nda-15,Entailment,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1042,4229.541125008836,193.2721670018509,
train::619::nda-10,619,nda-10,Entailment,Contradiction,strict,False,True,False,B_reasoning_limited,evidence_paraphrasing,1114,8205.568500095978,265.6791660701856,
train::619::nda-12,619,nda-12,Entailment,Entailment,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1123,7146.736667025834,634.8517090082169,
train::86::nda-1,86,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1311,5255.77966705896,281.38608299195766,
train::86::nda-10,86,nda-10,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1339,8346.269999979995,278.18762499373406,
train::94::nda-13,94,nda-13,NotMentioned,Contradiction,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1163,5594.013917027041,266.191125032492,
train::94::nda-16,94,nda-16,NotMentioned,Entailment,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1164,8015.502832946368,152.5051660137251,
train::121::nda-10,121,nda-10,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1094,4730.142624932341,190.84225001279265,
train::121::nda-11,121,nda-11,NotMentioned,Entailment,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1179,5920.324541977607,253.22099996265024,
train::125::nda-10,125,nda-10,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1179,5040.099999983795,203.17295903805643,
train::125::nda-11,125,nda-11,NotMentioned,Contradiction,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1182,5768.3337919879705,206.24616695567966,
train::126::nda-1,126,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1138,4891.496624913998,614.9887919891626,
train::126::nda-10,126,nda-10,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1264,6863.606792059727,705.674208002165,
train::159::nda-1,159,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1161,5355.512665933929,626.0546250268817,
train::159::nda-11,159,nda-11,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1166,8771.465750061907,402.1000829525292,
train::164::nda-10,164,nda-10,NotMentioned,Entailment,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1167,12132.831583032385,285.41479201521724,
train::164::nda-11,164,nda-11,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1182,12523.888500058092,453.904208028689,
train::187::nda-1,187,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1224,5242.682458017953,460.36487503442913,
train::187::nda-10,187,nda-10,NotMentioned,Contradiction,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1105,12598.682334064506,441.8957500020042,
train::200::nda-11,200,nda-11,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1080,4697.221249924041,492.0469579519704,
train::200::nda-12,200,nda-12,NotMentioned,Contradiction,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1062,7090.361583046615,188.50529100745916,
train::222::nda-18,222,nda-18,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1351,10239.368833019398,537.8466669935733,
train::222::nda-3,222,nda-3,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1327,5651.999749941751,617.422208073549,
train::232::nda-10,232,nda-10,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1212,10738.33879106678,146.6134999645874,
train::232::nda-11,232,nda-11,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1215,4872.969500022009,653.9187919115648,
train::251::nda-17,251,nda-17,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1162,5351.301250047982,278.6367089720443,
train::251::nda-18,251,nda-18,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1162,5113.5335840517655,463.9402918983251,
train::264::nda-12,264,nda-12,NotMentioned,Contradiction,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1056,12769.851250108331,455.12329100165516,
train::278::nda-1,278,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),481,2345.1959579251707,474.4560410035774,
train::278::nda-10,278,nda-10,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),485,2261.6256249602884,204.6998329460621,
train::279::nda-1,279,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1102,4905.5272080004215,190.69462490733713,
train::279::nda-10,279,nda-10,NotMentioned,Entailment,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1148,10775.011082994752,694.6580830262974,
train::280::nda-1,280,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1258,5337.220957968384,593.0293750716373,
train::280::nda-11,280,nda-11,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1263,5359.55570905935,141.71799994073808,
train::297::nda-1,297,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1233,4974.370750016533,286.21295804623514,
train::320::nda-1,320,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1364,5739.415416028351,537.6742919906974,
train::320::nda-12,320,nda-12,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1388,5866.38383299578,201.28533395472914,
train::328::nda-1,328,nda-1,NotMentioned,Contradiction,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1308,9503.524792031385,533.9703749632463,
train::328::nda-10,328,nda-10,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1248,17429.13745797705,319.93708305526525,
train::341::nda-11,341,nda-11,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1162,5458.5714160930365,534.0807089814916,
train::341::nda-12,341,nda-12,NotMentioned,Contradiction,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1197,8823.403666960075,822.7285409811884,
train::350::nda-1,350,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1266,5391.223208978772,266.3544170791283,
train::350::nda-10,350,nda-10,NotMentioned,Contradiction,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1244,9352.867375011556,584.5398750388995,
train::366::nda-11,366,nda-11,NotMentioned,Contradiction,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1103,12038.951875059865,508.2225420046598,
train::366::nda-16,366,nda-16,NotMentioned,Entailment,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1102,6101.9286250229925,578.5624999552965,
train::371::nda-10,371,nda-10,NotMentioned,Contradiction,strict,True,,False,B_reasoning_limited,reasoning_failure_evidence_present,1341,9686.776333022863,175.14329205732793,
train::371::nda-11,371,nda-11,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1262,5379.979666089639,230.52920796908438,
train::379::nda-11,379,nda-11,NotMentioned,Contradiction,strict,False,,False,B_reasoning_limited,evidence_paraphrasing,1278,6092.2392919892445,301.35791702196,
train::379::nda-17,379,nda-17,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1301,5495.182499988005,250.16449997201562,
train::439::nda-18,439,nda-18,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1245,5225.527332979254,511.6024579619989,
train::439::nda-2,439,nda-2,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1208,5171.60012491513,295.7699579419568,
train::516::nda-1,516,nda-1,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1239,4995.277291978709,549.637290998362,
train::516::nda-11,516,nda-11,NotMentioned,NotMentioned,strict,True,,True,n/a (correct),n/a (correct),1107,4719.976125052199,255.4047079756856,
