case_id,document_id,hypothesis_id,gold_label,gpt_predicted_label,classification_correct,gpt_source_valid_evidence,gpt_gold_evidence_overlap,retrieval_contains_gold_in_final_top5,bm25_top20_gold_rank,primary_bucket,oracle_action_needed,review_note
train::316::nda-17,316,nda-17,Contradiction,Entailment,False,True,True,True,1,MODEL_REASONING_LIMITED,none,Same nda-17 pattern.
train::317::nda-13,317,nda-13,Entailment,Entailment,True,True,False,True,5,EVIDENCE_SELECTION_LIMITED,none,Correct label; GPT's quoted evidence is real and source-valid but does not overlap the specific gold span -- picked a different (also plausible) supporting sentence.
train::318::nda-2,318,nda-2,Contradiction,Contradiction,True,True,True,True,1,EVIDENCE_SELECTION_LIMITED,none,Correct label; partial gold-span coverage below the 0.5 joint threshold.
train::320::nda-1,320,nda-1,NotMentioned,Contradiction,False,False,,,,MODEL_REASONING_LIMITED,none,"Same nda-1 pattern; one of 3 evidence quotes is a minor non-verbatim paraphrase (source_valid_evidence=False for the case) but the wrong-label driver is the same overgeneralization, not the paraphrase."
train::328::nda-1,328,nda-1,NotMentioned,Contradiction,False,True,,,,MODEL_REASONING_LIMITED,none,"Quotes a broad 'in any manner whatsoever' definition clause; plausible over-read, possibly compounded by a borderline/noisy gold annotation, but evidence was present and real."
train::338::nda-17,338,nda-17,Contradiction,Entailment,False,True,True,True,1,MODEL_REASONING_LIMITED,none,Same nda-17 pattern.
train::350::nda-10,350,nda-10,NotMentioned,Entailment,False,True,,,,MODEL_REASONING_LIMITED,none,Quotes a general non-disclosure-to-third-parties clause; does not actually address disclosing the FACT that the agreement was negotiated -- overgeneralization from topic similarity.
train::352::nda-12,352,nda-12,Entailment,Entailment,True,False,False,True,1,EVIDENCE_SELECTION_LIMITED,none,Correct label; evidence quote has a verbatim/formatting mismatch (source_valid_evidence=False) and does not overlap gold.
train::353::nda-10,353,nda-10,Entailment,NotMentioned,False,True,False,False,9,RETRIEVAL_FILTERING_LIMITED,expand_final_k,"Gold evidence at BM25 top-20 rank 9, cut before top-5."
train::379::nda-10,379,nda-10,Entailment,NotMentioned,False,True,False,False,3,RETRIEVAL_FILTERING_LIMITED,expand_final_k,"Gold evidence at BM25 top-20 rank 3, cut before top-5."
train::379::nda-17,379,nda-17,NotMentioned,Entailment,False,True,,,,MODEL_REASONING_LIMITED,none,"Quotes 3 general confidentiality/return/legal-disclosure clauses, none of which grant a specific 'may copy' permission -- overgeneralization."
train::438::nda-2,438,nda-2,Contradiction,Contradiction,True,True,False,False,6,RETRIEVAL_FILTERING_LIMITED,expand_final_k,"GPT's LABEL is correct (Contradiction) but gold evidence (rank 6) was cut before top-5, so joint success fails on evidence recall alone -- correct-label/joint-fail case, retrieval-filtering root cause."
train::438::nda-20,438,nda-20,Contradiction,NotMentioned,False,True,False,True,5,MODEL_REASONING_LIMITED,none,"Same document as train::438::nda-2 (in Group B) -- the relevant return/destroy clause for nda-20 IS in the shown top-5, but GPT returns empty evidence/NotMentioned rather than recognizing the mandatory-return language contradicts 'may retain some Confidential Information.'"
train::439::nda-2,439,nda-2,NotMentioned,Contradiction,False,True,,,,MODEL_REASONING_LIMITED,none,Hypothesis nda-2 ('Confidential Information shall only include technical information') -- GPT over-generalizes from a broad information-category definition to a specific exclusivity claim not actually made.
train::466::nda-15,466,nda-15,Entailment,Contradiction,False,False,True,True,2,MODEL_REASONING_LIMITED,none,"Evidence overlaps gold (one quote has a minor non-verbatim variant) but label is wrong -- reasoning error over available evidence, not a retrieval gap."
train::473::nda-17,473,nda-17,Contradiction,Entailment,False,True,True,True,2,MODEL_REASONING_LIMITED,none,Same nda-17 pattern.
train::500::nda-13,500,nda-13,Entailment,Entailment,True,False,False,True,5,EVIDENCE_SELECTION_LIMITED,none,Correct label; evidence quote not verbatim-valid and does not overlap gold.
train::515::nda-2,515,nda-2,Contradiction,Contradiction,True,False,False,True,7,EVIDENCE_SELECTION_LIMITED,none,Correct label; evidence quote not verbatim-valid and does not overlap gold.
train::518::nda-10,518,nda-10,Entailment,NotMentioned,False,True,False,False,1,RETRIEVAL_FILTERING_LIMITED,expand_final_k,"Gold evidence at BM25 top-20 rank 1 (!), still cut before top-5 by the reranker."
train::551::nda-20,551,nda-20,Contradiction,Entailment,False,True,True,True,1,MODEL_REASONING_LIMITED,none,"Correct evidence quoted, wrong label -- reasoning failure."
train::603::nda-15,603,nda-15,Entailment,Contradiction,False,True,False,True,4,MODEL_REASONING_LIMITED,none,"GPT's own quoted evidence explicitly references 'paragraph 1.5' by number, and clause 1.5 itself (the actual ownership-retention gold evidence) IS present in the same shown top-5 -- GPT failed to connect its own cross-reference to the clause it was already given, concluding Contradiction instead of Entailment."
train::92::nda-17,92,nda-17,Contradiction,Entailment,False,True,True,True,1,MODEL_REASONING_LIMITED,none,"Same nda-17 copy-vs-disclose confusion pattern (also E08B's own worst-case output-token calibration example) -- correct evidence quoted, wrong label."
train::94::nda-13,94,nda-13,NotMentioned,Entailment,False,True,,,,MODEL_REASONING_LIMITED,none,"Quotes the standard third-party-acquired-information exclusion clause -- a genuinely reasonable read that arguably DOES support the hypothesis; likely compounded by borderline gold-label noise (a known ContractNLI annotation-quality issue), not a missing-information problem."
