case_id,gold_label,retrieval_contains_gold,p0_prediction,p1_prediction,p2_prediction,p0_correct,p1_correct,p2_correct,prompt_sensitive,failure_source,failure_family,notes
train::264::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::275::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::275::nda-11,NotMentioned,,Entailment,NotMentioned,NotMentioned,False,True,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::314::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::314::nda-10,NotMentioned,,NotMentioned,Entailment,Entailment,True,False,False,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::333::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::333::nda-10,NotMentioned,,Entailment,Entailment,NotMentioned,False,False,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::382::nda-1,NotMentioned,,Contradiction,NotMentioned,NotMentioned,False,True,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Contradiction (NotMentioned/Contradiction confusion),
train::382::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::384::nda-1,NotMentioned,,Entailment,NotMentioned,NotMentioned,False,True,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::384::nda-13,NotMentioned,,Contradiction,NotMentioned,NotMentioned,False,True,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Contradiction (NotMentioned/Contradiction confusion),
train::385::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::385::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::439::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::439::nda-10,NotMentioned,,Contradiction,NotMentioned,NotMentioned,False,True,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Contradiction (NotMentioned/Contradiction confusion),
train::468::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::468::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::473::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::473::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::492::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::492::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::520::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::520::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::525::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::525::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::554::nda-1,NotMentioned,,Contradiction,NotMentioned,Entailment,False,True,False,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Contradiction (NotMentioned/Contradiction confusion),
train::554::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::560::nda-10,NotMentioned,,NotMentioned,Entailment,NotMentioned,True,False,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::560::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::592::nda-17,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::592::nda-18,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
